asin,name,rating,Review_date,verified,title,helpfulVotes,brand,item_title,url,image,overall_rating,reviewUrl,totalReviews,price,originalPrice,id,year,month,day,Week_Number
B002WTC1NG,Selena Parce,4,11/11/2012,TRUE,Simplicity at its best,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,261,2012,11,11,45
B002WTC1NG,Benny Rappa,4,09/03/2015,TRUE,Four Stars,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,262,2015,3,9,11
B002WTC1NG,S. Mozzafari,5,01/01/2013,TRUE,Good Phone,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,263,2013,1,1,1
B002WTC1NG,copr165,5,11/02/2012,TRUE,Better than expected,21,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,264,2012,2,11,6
B002WTC1NG,beverly soell,5,07/01/2014,TRUE,good phone,4,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,265,2014,1,7,2
B002WTC1NG,janney,5,30/10/2012,TRUE,nice phone,4,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,266,2012,10,30,44
B002WTC1NG,T63,5,23/01/2012,TRUE,Fantastic buy!,21,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,267,2012,1,23,4
B002WTC1NG,Lisa Kearns,5,19/02/2013,FALSE,"Rugged, long lasting, and perfect for people who don't do more than text and talk",43,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,268,2013,2,19,8
B002WTC1NG,A Charlie brown,5,24/07/2014,FALSE,Verizon insurance a nogo,6,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,269,2014,7,24,30
B002WTC1NG,Mark W. Ingalls,5,21/02/2010,FALSE,Great VZW Phone for Active Adults,61,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,270,2010,2,21,7
B002WTC1NG,TinkerMan,3,09/02/2011,FALSE,Hit or (mostly) Miss Phone....,4,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,271,2011,2,9,6
B002WTC1NG,D. T. Kleven,1,03/01/2013,FALSE,This phone did not hold up for me.,4,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,272,2013,1,3,1
B002WTC1NG,Plainshow,5,10/07/2011,FALSE,If it meets you needs this phone is excellent.,4,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,273,2011,7,10,27
B002WTC1NG,Les P,4,31/08/2010,FALSE,excellent phone,11,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,274,2010,8,31,35
B002WTC1NG,AZreader,4,13/07/2011,FALSE,Good basic phone,3,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,275,2011,7,13,28
B002WTC1NG,turk,1,24/10/2014,FALSE,One Star,1,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0,276,2014,10,24,43
B0033SFV5A,Askhat Sharapov,3,14/04/2017,TRUE,Three Stars,1,Samsung,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,https://www.amazon.com/Verizon-PagePlus-Samsung-U350-Condition/dp/B0033SFV5A,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,3.3,https://www.amazon.com/product-reviews/B0033SFV5A,57,64.99,0,277,2017,4,14,15
